區域別,性別,總計
重和里,女,613
兩湖里,女,181
六股里,女,310
三界里,女,337
清泉里,女,383
萬壽里,女,244
西湖里,女,75
永興里,女,265
金美里,女,2867
總計,女,10421
萬里里,女,2382
龜吼里,女,1410
野柳里,女,1822
大鵬里,女,1428
磺潭里,女,299
雙興里,女,466
溪底里,女,294
崁脚里,女,201
中幅里,女,601
北基里,女,1518
總計,女,70021
東林里,女,1909
林口里,女,2890
西林里,女,6487
菁湖里,女,2218
中湖里,女,2935
湖北里,女,673
湖南里,女,16552
南勢里,女,17739
東勢里,女,4242
頂福里,女,498
下福里,女,672
嘉寶里,女,474
瑞平里,女,378
太平里,女,890
仁愛里,女,3976
麗林里,女,5331
麗園里,女,2157
總計,女,10733
八賢里,女,144
埔頭里,女,2761
古庄里,女,584
新庄里,女,399
埔坪里,女,3504
茂長里,女,309
橫山里,女,192
錫板里,女,274
後厝里,女,1140
福德里,女,396
圓山里,女,223
店子里,女,244
興華里,女,563
總計,女,5005
德茂里,女,569
富基里,女,698
老梅里,女,1020
山溪里,女,393
石門里,女,780
尖鹿里,女,715
乾華里,女,107
茂林里,女,253
草里里,女,470
總計,女,104778
中和里,女,242
屯山里,女,503
賢孝里,女,711
興仁里,女,711
蕃薯里,女,499
義山里,女,1183
忠山里,女,364
崁頂里,女,15470
埤島里,女,1111
新興里,女,4296
水碓里,女,3125
北投里,女,6413
水源里,女,995
忠寮里,女,493
樹興里,女,871
坪頂里,女,697
福德里,女,3811
竹圍里,女,3424
民生里,女,4091
八勢里,女,4279
竿蓁里,女,6856
鄧公里,女,3360
中興里,女,2064
長庚里,女,737
清文里,女,569
草東里,女,344
協元里,女,730
永吉里,女,430
民安里,女,354
新生里,女,226
文化里,女,980
油車里,女,2882
沙崙里,女,2928
新義里,女,2160
新春里,女,5432
新民里,女,2595
正德里,女,2767
北新里,女,1698
民權里,女,2702
幸福里,女,2016
學府里,女,2605
大庄里,女,7054
總計,女,21434
龍源里,女,4022
米倉里,女,1996
大崁里,女,1896
埤頭里,女,2591
頂罟里,女,1372
舊城里,女,3824
訊塘里,女,3198
荖阡里,女,872
長坑里,女,798
下罟里,女,865
總計,女,47224
興珍里,女,2278
更寮里,女,544
集福里,女,2062
觀音里,女,601
成州里,女,3272
成功里,女,4846
五龍里,女,606
五股里,女,1916
五福里,女,1744
德音里,女,2864
陸一里,女,1330
貿商里,女,1595
德泰里,女,2365
成德里,女,1877
六福里,女,2028
集賢里,女,2208
民義里,女,1862
成泰里,女,7268
水碓里,女,4158
福德里,女,1800
總計,女,44742
東鶯里,女,560
西鶯里,女,1165
南鶯里,女,2954
北鶯里,女,2259
中鶯里,女,503
建德里,女,257
同慶里,女,812
永昌里,女,4351
南靖里,女,1751
尖山里,女,5122
二橋里,女,4403
二甲里,女,428
東湖里,女,124
大湖里,女,2478
鳳鳴里,女,3763
鳳福里,女,2482
永吉里,女,2525
中湖里,女,2732
鳳祥里,女,2186
建國里,女,3887
總計,女,57997
三峽里,女,133
秀川里,女,338
八張里,女,2141
中埔里,女,2004
弘道里,女,487
永舘里,女,3924
礁溪里,女,3288
鳶山里,女,5291
龍埔里,女,5487
大埔里,女,1871
嘉添里,女,963
添福里,女,520
金圳里,女,188
五寮里,女,361
插角里,女,279
有木里,女,277
溪北里,女,1064
溪南里,女,681
溪東里,女,1488
成福里,女,419
安坑里,女,572
竹崙里,女,862
介壽里,女,3455
安溪里,女,3863
中正里,女,2647
二鬮里,女,1806
龍學里,女,9232
龍恩里,女,4356
